index,btor_time,real,status,sys,user
ldv-cat-0000.c.ite.gsa.smt2,0.0,0.0,sat,0.0,0.0
ldv-cat-0000.c.ite.phi.smt2,0.0,0.0,sat,0.0,0.0
ldv-cat-0000.c.noite.gsa.smt2,0.0,0.0,sat,0.0,0.0
ldv-cat-0000.c.noite.phi.smt2,0.0,0.0,sat,0.0,0.0
ldv-cat-0001.c.ite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0001.c.ite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0001.c.noite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0001.c.noite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0002.c.ite.gsa.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0002.c.ite.phi.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0002.c.noite.gsa.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0002.c.noite.phi.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0003.c.ite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0003.c.ite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0003.c.noite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0003.c.noite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0004.c.ite.gsa.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0004.c.ite.phi.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0004.c.noite.gsa.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0004.c.noite.phi.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0005.c.ite.gsa.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0005.c.ite.phi.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0005.c.noite.gsa.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0005.c.noite.phi.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0006.c.ite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0006.c.ite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0006.c.noite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0006.c.noite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0007.c.ite.gsa.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0007.c.ite.phi.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0007.c.noite.gsa.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0007.c.noite.phi.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0008.c.ite.gsa.smt2,,0.05,unsat,0.0,0.05
ldv-cat-0008.c.ite.phi.smt2,,0.05,unsat,0.0,0.05
ldv-cat-0008.c.noite.gsa.smt2,,0.05,unsat,0.0,0.05
ldv-cat-0008.c.noite.phi.smt2,,0.04,unsat,0.0,0.04
ldv-cat-0009.c.ite.gsa.smt2,0.9,0.95,sat,0.0,0.95
ldv-cat-0009.c.ite.phi.smt2,0.9,0.97,sat,0.01,0.95
ldv-cat-0009.c.noite.gsa.smt2,0.9,0.98,sat,0.02,0.95
ldv-cat-0009.c.noite.phi.smt2,1.0,1.05,sat,0.02,1.02
ldv-cat-0010.c.ite.gsa.smt2,,0.01,unknown,0.0,0.01
ldv-cat-0010.c.ite.phi.smt2,,0.01,unknown,0.0,0.01
ldv-cat-0010.c.noite.gsa.smt2,,0.01,unknown,0.0,0.01
ldv-cat-0010.c.noite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0011.c.ite.gsa.smt2,3.1,3.52,unsat,0.05,3.46
ldv-cat-0011.c.ite.phi.smt2,7.8,8.66,unsat,0.06,8.59
ldv-cat-0011.c.noite.gsa.smt2,3.4,3.74,unsat,0.08,3.65
ldv-cat-0011.c.noite.phi.smt2,45.3,46.73,unsat,0.83,45.9
ldv-cat-0012.c.ite.gsa.smt2,3.2,3.59,unsat,0.03,3.55
ldv-cat-0012.c.ite.phi.smt2,3.8,4.4,unsat,0.07,4.32
ldv-cat-0012.c.noite.gsa.smt2,3.0,3.37,unsat,0.06,3.31
ldv-cat-0012.c.noite.phi.smt2,34.8,36.46,unsat,0.69,35.76
ldv-cat-0013.i.ite.gsa.smt2,1.8,1.99,unsat,0.03,1.96
ldv-cat-0013.i.ite.phi.smt2,1.7,1.98,unsat,0.01,1.97
ldv-cat-0013.i.noite.gsa.smt2,1.7,1.95,unsat,0.03,1.91
ldv-cat-0013.i.noite.phi.smt2,926.7,930.02,unknown,8.92,921.09
ldv-cat-0014.c.ite.gsa.smt2,7.8,9.14,unsat,0.07,9.06
ldv-cat-0014.c.ite.phi.smt2,7.9,8.83,unsat,0.12,8.7
ldv-cat-0014.c.noite.gsa.smt2,10.7,12.66,unsat,0.14,12.52
ldv-cat-0014.c.noite.phi.smt2,752.6,760.99,unsat,8.11,752.87
