index,btor_time,real,status,sys,user
ldv-cat-0000.c.ite.gsa.smt2,0.0,0.0,sat,0.0,0.0
ldv-cat-0000.c.ite.phi.smt2,0.0,0.0,sat,0.0,0.0
ldv-cat-0000.c.noite.gsa.smt2,0.0,0.0,sat,0.0,0.0
ldv-cat-0000.c.noite.phi.smt2,0.0,0.0,sat,0.0,0.0
ldv-cat-0001.c.ite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0001.c.ite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0001.c.noite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0001.c.noite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0002.c.ite.gsa.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0002.c.ite.phi.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0002.c.noite.gsa.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0002.c.noite.phi.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0003.c.ite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0003.c.ite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0003.c.noite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0003.c.noite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0004.c.ite.gsa.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0004.c.ite.phi.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0004.c.noite.gsa.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0004.c.noite.phi.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0005.c.ite.gsa.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0005.c.ite.phi.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0005.c.noite.gsa.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0005.c.noite.phi.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0006.c.ite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0006.c.ite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0006.c.noite.gsa.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0006.c.noite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0007.c.ite.gsa.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0007.c.ite.phi.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0007.c.noite.gsa.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0007.c.noite.phi.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0008.c.ite.gsa.smt2,,0.05,unsat,0.0,0.04
ldv-cat-0008.c.ite.phi.smt2,,0.07,unsat,0.0,0.07
ldv-cat-0008.c.noite.gsa.smt2,,0.06,unsat,0.0,0.06
ldv-cat-0008.c.noite.phi.smt2,,0.06,unsat,0.0,0.06
ldv-cat-0009.c.ite.gsa.smt2,1.2,1.31,sat,0.01,1.3
ldv-cat-0009.c.ite.phi.smt2,0.8,0.83,sat,0.01,0.82
ldv-cat-0009.c.noite.gsa.smt2,0.8,0.84,sat,0.0,0.83
ldv-cat-0009.c.noite.phi.smt2,0.8,0.89,sat,0.02,0.87
ldv-cat-0010.c.ite.gsa.smt2,,0.01,unknown,0.0,0.01
ldv-cat-0010.c.ite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0010.c.noite.gsa.smt2,,0.01,unknown,0.0,0.01
ldv-cat-0010.c.noite.phi.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0011.c.ite.gsa.smt2,1.6,1.91,unsat,0.03,1.87
ldv-cat-0011.c.ite.phi.smt2,9.3,10.08,unsat,0.09,9.99
ldv-cat-0011.c.noite.gsa.smt2,2.5,2.89,unsat,0.03,2.86
ldv-cat-0011.c.noite.phi.smt2,35.5,38.02,unsat,0.69,37.32
ldv-cat-0012.c.ite.gsa.smt2,2.6,3.0,unsat,0.04,2.95
ldv-cat-0012.c.ite.phi.smt2,3.8,4.34,unsat,0.04,4.3
ldv-cat-0012.c.noite.gsa.smt2,2.9,3.26,unsat,0.05,3.21
ldv-cat-0012.c.noite.phi.smt2,6.2,7.35,unsat,0.14,7.21
ldv-cat-0013.i.ite.gsa.smt2,1.6,1.84,unsat,0.03,1.81
ldv-cat-0013.i.ite.phi.smt2,1.6,1.84,unsat,0.03,1.81
ldv-cat-0013.i.noite.gsa.smt2,1.6,1.83,unsat,0.03,1.79
ldv-cat-0013.i.noite.phi.smt2,812.1,930.02,unknown,8.12,921.89
ldv-cat-0014.c.ite.gsa.smt2,14.7,17.76,unsat,0.1,17.65
ldv-cat-0014.c.ite.phi.smt2,9.9,11.04,unsat,0.11,10.93
ldv-cat-0014.c.noite.gsa.smt2,8.5,9.98,unsat,0.1,9.87
ldv-cat-0014.c.noite.phi.smt2,550.0,555.63,unsat,6.69,548.93
