index,max_memory,memory,status,time
ldv-cat-0000.c.ite.gsa.smt2,0.09,0.09,unknown,
ldv-cat-0000.c.ite.phi.smt2,0.09,0.09,unknown,
ldv-cat-0000.c.noite.gsa.smt2,0.09,0.09,unknown,
ldv-cat-0000.c.noite.phi.smt2,0.09,0.09,unknown,
ldv-cat-0001.c.ite.gsa.smt2,3.31,3.01,unsat,0.01
ldv-cat-0001.c.ite.phi.smt2,3.31,3.01,unsat,0.01
ldv-cat-0001.c.noite.gsa.smt2,3.31,3.01,unsat,0.01
ldv-cat-0001.c.noite.phi.smt2,3.32,3.01,unsat,0.01
ldv-cat-0002.c.ite.gsa.smt2,3.37,3.13,unsat,0.01
ldv-cat-0002.c.ite.phi.smt2,3.37,3.13,unsat,0.01
ldv-cat-0002.c.noite.gsa.smt2,3.37,3.13,unsat,0.01
ldv-cat-0002.c.noite.phi.smt2,3.37,3.13,unsat,0.01
ldv-cat-0003.c.ite.gsa.smt2,3.31,3.01,unsat,0.01
ldv-cat-0003.c.ite.phi.smt2,3.31,3.01,unsat,0.01
ldv-cat-0003.c.noite.gsa.smt2,3.31,3.01,unsat,0.01
ldv-cat-0003.c.noite.phi.smt2,3.31,3.01,unsat,0.01
ldv-cat-0004.c.ite.gsa.smt2,3.45,3.14,unsat,0.01
ldv-cat-0004.c.ite.phi.smt2,3.45,3.14,unsat,0.01
ldv-cat-0004.c.noite.gsa.smt2,3.45,3.14,unsat,0.01
ldv-cat-0004.c.noite.phi.smt2,3.45,3.14,unsat,0.01
ldv-cat-0005.c.ite.gsa.smt2,3.74,3.43,unsat,0.01
ldv-cat-0005.c.ite.phi.smt2,3.74,3.43,unsat,0.01
ldv-cat-0005.c.noite.gsa.smt2,3.74,3.43,unsat,0.01
ldv-cat-0005.c.noite.phi.smt2,3.74,3.43,unsat,0.01
ldv-cat-0006.c.ite.gsa.smt2,3.74,3.44,unsat,0.01
ldv-cat-0006.c.ite.phi.smt2,3.74,3.46,unsat,0.01
ldv-cat-0006.c.noite.gsa.smt2,3.74,3.44,unsat,0.01
ldv-cat-0006.c.noite.phi.smt2,3.75,3.45,unsat,0.01
ldv-cat-0007.c.ite.gsa.smt2,4.12,3.85,unsat,0.01
ldv-cat-0007.c.ite.phi.smt2,4.13,3.87,unsat,0.02
ldv-cat-0007.c.noite.gsa.smt2,4.12,3.85,unsat,0.01
ldv-cat-0007.c.noite.phi.smt2,4.22,3.97,unsat,0.01
ldv-cat-0008.c.ite.gsa.smt2,6.33,5.37,unsat,0.03
ldv-cat-0008.c.ite.phi.smt2,6.36,5.40,unsat,0.03
ldv-cat-0008.c.noite.gsa.smt2,6.33,5.37,unsat,0.03
ldv-cat-0008.c.noite.phi.smt2,6.23,5.34,unsat,0.03
ldv-cat-0009.c.ite.gsa.smt2,22.46,5.70,sat,0.31
ldv-cat-0009.c.ite.phi.smt2,23.84,7.27,sat,0.28
ldv-cat-0009.c.noite.gsa.smt2,22.46,5.70,sat,0.30
ldv-cat-0009.c.noite.phi.smt2,24.53,7.31,sat,1.03
ldv-cat-0010.c.ite.gsa.smt2,29.97,10.42,sat,1.14
ldv-cat-0010.c.ite.phi.smt2,29.28,10.13,sat,0.78
ldv-cat-0010.c.noite.gsa.smt2,27.57,8.85,sat,1.16
ldv-cat-0010.c.noite.phi.smt2,33.12,10.80,sat,0.92
ldv-cat-0011.c.ite.gsa.smt2,38.16,12.41,unsat,0.23
ldv-cat-0011.c.ite.phi.smt2,38.06,12.29,unsat,0.26
ldv-cat-0011.c.noite.gsa.smt2,38.16,12.41,unsat,0.24
ldv-cat-0011.c.noite.phi.smt2,49.03,16.74,unsat,0.57
ldv-cat-0012.c.ite.gsa.smt2,38.16,12.41,unsat,0.24
ldv-cat-0012.c.ite.phi.smt2,38.06,12.29,unsat,0.24
ldv-cat-0012.c.noite.gsa.smt2,38.16,12.41,unsat,0.25
ldv-cat-0012.c.noite.phi.smt2,49.09,16.74,unsat,0.58
ldv-cat-0013.i.ite.gsa.smt2,35.43,11.82,unsat,0.38
ldv-cat-0013.i.ite.phi.smt2,35.75,12.00,unsat,0.22
ldv-cat-0013.i.noite.gsa.smt2,35.43,11.82,unsat,0.40
ldv-cat-0013.i.noite.phi.smt2,41.10,12.81,unsat,0.65
ldv-cat-0014.c.ite.gsa.smt2,48.66,14.52,unsat,0.69
ldv-cat-0014.c.ite.phi.smt2,48.77,14.53,unsat,0.46
ldv-cat-0014.c.noite.gsa.smt2,48.68,14.52,unsat,0.45
ldv-cat-0014.c.noite.phi.smt2,56.72,17.97,unsat,1.48
ldv-cat-0015.c.ite.gsa.smt2,333.54,73.45,unsat,1.97
ldv-cat-0015.c.ite.phi.smt2,333.82,73.57,unsat,1.92
ldv-cat-0015.c.noite.gsa.smt2,333.53,73.45,unsat,2.05
ldv-cat-0015.c.noite.phi.smt2,344.58,73.94,unsat,7.20
ldv-cat-0016.c.ite.gsa.smt2,41.24,12.08,sat,2.05
ldv-cat-0016.c.ite.phi.smt2,41.59,11.99,sat,3.44
ldv-cat-0016.c.noite.gsa.smt2,42.60,12.25,sat,3.86
ldv-cat-0016.c.noite.phi.smt2,49.60,13.27,sat,3.81
ldv-cat-0017.c.ite.gsa.smt2,284.68,69.57,unsat,1.82
ldv-cat-0017.c.ite.phi.smt2,284.74,69.58,unsat,1.78
ldv-cat-0017.c.noite.gsa.smt2,284.68,69.57,unsat,1.81
ldv-cat-0017.c.noite.phi.smt2,286.31,70.14,unsat,2.32
ldv-cat-0018.c.ite.gsa.smt2,44.99,14.85,unsat,0.33
ldv-cat-0018.c.ite.phi.smt2,50.75,17.92,unsat,1.52
ldv-cat-0018.c.noite.gsa.smt2,45.00,14.85,unsat,0.36
ldv-cat-0018.c.noite.phi.smt2,60.65,18.86,unsat,2.98
ldv-cat-0019.i.ite.gsa.smt2,83.65,20.31,unsat,9.38
ldv-cat-0019.i.ite.phi.smt2,81.65,20.15,unsat,4.09
ldv-cat-0019.i.noite.gsa.smt2,83.65,20.31,unsat,8.77
ldv-cat-0019.i.noite.phi.smt2,86.96,21.33,unsat,8.75
ldv-cat-0020.c.ite.gsa.smt2,129.81,38.32,unsat,2.32
ldv-cat-0020.c.ite.phi.smt2,190.03,48.88,unsat,1.70
ldv-cat-0020.c.noite.gsa.smt2,129.84,38.21,unsat,2.34
ldv-cat-0020.c.noite.phi.smt2,247.98,69.06,unsat,3.09
ldv-cat-0021.c.ite.gsa.smt2,30.93,8.91,sat,5.70
ldv-cat-0021.c.ite.phi.smt2,29.10,8.85,sat,5.55
ldv-cat-0021.c.noite.gsa.smt2,30.93,8.91,sat,5.89
ldv-cat-0021.c.noite.phi.smt2,38.42,11.09,sat,8.55
ldv-cat-0022.i.ite.gsa.smt2,79.17,20.06,unsat,12.07
ldv-cat-0022.i.ite.phi.smt2,75.61,19.31,unsat,3.18
ldv-cat-0022.i.noite.gsa.smt2,79.58,20.11,unsat,15.38
ldv-cat-0022.i.noite.phi.smt2,80.25,20.57,unsat,3.33
ldv-cat-0023.c.ite.gsa.smt2,120.32,33.44,sat,33.19
ldv-cat-0023.c.ite.phi.smt2,116.00,34.09,sat,15.39
ldv-cat-0023.c.noite.gsa.smt2,118.25,33.88,sat,25.57
ldv-cat-0023.c.noite.phi.smt2,118.77,34.07,sat,5.18
ldv-cat-0024.i.ite.gsa.smt2,1229.48,269.23,unsat,33.02
ldv-cat-0024.i.ite.phi.smt2,1234.38,272.88,unsat,27.45
ldv-cat-0024.i.noite.gsa.smt2,1231.82,269.21,unsat,21.09
ldv-cat-0024.i.noite.phi.smt2,1245.66,276.50,unsat,22.54
ldv-cat-0025.c.ite.gsa.smt2,21.17,16.56,unsat,0.11
ldv-cat-0025.c.ite.phi.smt2,20.35,16.28,unsat,0.10
ldv-cat-0025.c.noite.gsa.smt2,21.24,16.56,unsat,0.12
ldv-cat-0025.c.noite.phi.smt2,20.21,16.77,unsat,0.11
ldv-cat-0026.c.ite.gsa.smt2,827.91,249.92,unsat,6.04
ldv-cat-0026.c.ite.phi.smt2,847.80,258.99,unsat,6.32
ldv-cat-0026.c.noite.gsa.smt2,827.17,249.71,unsat,6.33
ldv-cat-0026.c.noite.phi.smt2,962.35,279.38,unsat,8.25
ldv-cat-0027.c.ite.gsa.smt2,236.07,49.92,sat,18.63
ldv-cat-0027.c.ite.phi.smt2,194.73,43.26,sat,18.14
ldv-cat-0027.c.noite.gsa.smt2,253.22,61.29,sat,22.02
ldv-cat-0027.c.noite.phi.smt2,221.11,46.92,sat,19.93
ldv-cat-0028.c.ite.gsa.smt2,149.90,41.86,unsat,1.48
ldv-cat-0028.c.ite.phi.smt2,167.00,42.72,unsat,1.27
ldv-cat-0028.c.noite.gsa.smt2,149.90,41.86,unsat,1.17
ldv-cat-0028.c.noite.phi.smt2,184.31,46.03,unsat,9.30
ldv-cat-0029.c.ite.gsa.smt2,243.91,52.50,unsat,67.64
ldv-cat-0029.c.ite.phi.smt2,258.16,62.81,unsat,60.30
ldv-cat-0029.c.noite.gsa.smt2,236.66,52.25,unsat,109.05
ldv-cat-0029.c.noite.phi.smt2,228.21,51.73,unsat,6.43
ldv-cat-0030.c.ite.gsa.smt2,18.20,12.72,unsat,0.47
ldv-cat-0030.c.ite.phi.smt2,18.81,13.28,unsat,0.31
ldv-cat-0030.c.noite.gsa.smt2,18.20,12.72,unsat,0.29
ldv-cat-0030.c.noite.phi.smt2,222.08,51.16,unsat,12.92
ldv-cat-0031.i.ite.gsa.smt2,93.57,22.24,sat,20.26
