index,btor_time,real,status,sys,user
ldv-cat-0000.c.ite.gsa.df.smt2,0.0,0.0,sat,0.0,0.0
ldv-cat-0001.c.ite.gsa.df.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0002.c.ite.gsa.df.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0003.c.ite.gsa.df.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0004.c.ite.gsa.df.smt2,,0.0,unsat,0.0,0.0
ldv-cat-0005.c.ite.gsa.df.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0006.c.ite.gsa.df.smt2,,0.0,unknown,0.0,0.0
ldv-cat-0007.c.ite.gsa.df.smt2,,0.01,unsat,0.0,0.01
ldv-cat-0008.c.ite.gsa.df.smt2,,0.02,unsat,0.0,0.02
ldv-cat-0009.c.ite.gsa.df.smt2,0.9,0.9,sat,0.01,0.89
ldv-cat-0010.c.ite.gsa.df.smt2,,0.01,unknown,0.0,0.01
ldv-cat-0011.c.ite.gsa.df.smt2,3.5,3.79,unsat,0.04,3.74
ldv-cat-0012.c.ite.gsa.df.smt2,3.5,3.79,unsat,0.02,3.76
ldv-cat-0013.i.ite.gsa.df.smt2,1.3,1.36,unsat,0.01,1.35
ldv-cat-0014.c.ite.gsa.df.smt2,6.9,7.79,unsat,0.05,7.73
ldv-cat-0015.c.ite.gsa.df.smt2,223.7,246.59,unsat,0.58,246.0
ldv-cat-0016.c.ite.gsa.df.smt2,0.5,0.59,sat,0.0,0.58
ldv-cat-0017.c.ite.gsa.df.smt2,10.8,11.78,unsat,0.2,11.58
ldv-cat-0018.c.ite.gsa.df.smt2,,0.02,unknown,0.0,0.02
ldv-cat-0019.i.ite.gsa.df.smt2,0.4,0.65,unsat,0.03,0.61
ldv-cat-0020.c.ite.gsa.df.smt2,12.3,12.91,unsat,0.13,12.77
ldv-cat-0021.c.ite.gsa.df.smt2,0.9,1.03,sat,0.01,1.01
ldv-cat-0022.i.ite.gsa.df.smt2,12.5,13.64,unsat,0.09,13.55
