index,max_memory,memory,status,time
ldv-cat-0000.c.ite.gsa.df.smt2,0.09,0.09,unknown,
ldv-cat-0001.c.ite.gsa.df.smt2,3.28,2.97,unsat,0.01
ldv-cat-0002.c.ite.gsa.df.smt2,3.24,2.93,unsat,0.01
ldv-cat-0003.c.ite.gsa.df.smt2,3.28,2.97,unsat,0.01
ldv-cat-0004.c.ite.gsa.df.smt2,3.41,3.11,unsat,0.01
ldv-cat-0005.c.ite.gsa.df.smt2,3.68,3.38,unsat,0.01
ldv-cat-0006.c.ite.gsa.df.smt2,3.48,3.17,unsat,0.01
ldv-cat-0007.c.ite.gsa.df.smt2,3.65,3.35,unsat,0.01
ldv-cat-0008.c.ite.gsa.df.smt2,4.29,3.99,unsat,0.01
ldv-cat-0009.c.ite.gsa.df.smt2,3.47,3.17,unsat,0.01
ldv-cat-0010.c.ite.gsa.df.smt2,24.83,7.98,sat,1.31
ldv-cat-0011.c.ite.gsa.df.smt2,37.44,11.22,sat,2.65
ldv-cat-0012.c.ite.gsa.df.smt2,37.44,11.22,sat,2.62
ldv-cat-0013.i.ite.gsa.df.smt2,28.45,7.47,sat,0.48
ldv-cat-0014.c.ite.gsa.df.smt2,44.69,12.36,sat,4.75
ldv-cat-0015.c.ite.gsa.df.smt2,345.04,72.69,sat,41.48
ldv-cat-0016.c.ite.gsa.df.smt2,19.73,7.14,sat,1.02
ldv-cat-0017.c.ite.gsa.df.smt2,303.19,69.03,sat,108.83
ldv-cat-0018.c.ite.gsa.df.smt2,5.51,4.94,unsat,0.02
ldv-cat-0019.i.ite.gsa.df.smt2,82.17,19.97,unsat,7.17
ldv-cat-0020.c.ite.gsa.df.smt2,289.08,288.70,timeout,929.91
ldv-cat-0021.c.ite.gsa.df.smt2,30.23,8.24,sat,5.99
ldv-cat-0022.i.ite.gsa.df.smt2,107.75,22.43,sat,34.33
ldv-cat-0023.c.ite.gsa.df.smt2,127.72,30.99,sat,80.77
ldv-cat-0024.i.ite.gsa.df.smt2,1136.36,255.45,unsat,13.47
ldv-cat-0025.c.ite.gsa.df.smt2,11.53,9.54,unsat,0.01
ldv-cat-0026.c.ite.gsa.df.smt2,11.82,9.81,unsat,0.14
ldv-cat-0027.c.ite.gsa.df.smt2,228.77,48.51,sat,28.84
ldv-cat-0028.c.ite.gsa.df.smt2,127.42,27.69,sat,204.51
ldv-cat-0029.c.ite.gsa.df.smt2,240.85,54.21,unsat,56.05
ldv-cat-0030.c.ite.gsa.df.smt2,8.00,6.87,unsat,0.06
ldv-cat-0031.i.ite.gsa.df.smt2,98.67,20.83,sat,35.61
ldv-cat-0032.c.ite.gsa.df.smt2,703.63,600.78,timeout,929.93
ldv-cat-0033.c.ite.gsa.df.smt2,1094.28,1093.90,timeout,929.62
ldv-cat-0034.i.ite.gsa.df.smt2,131.67,28.30,sat,29.65
ldv-cat-0035.c.ite.gsa.df.smt2,14.11,11.89,unsat,0.14
ldv-cat-0036.c.ite.gsa.df.smt2,14.49,11.21,unsat,0.09
ldv-cat-0037.c.ite.gsa.df.smt2,685.40,683.94,timeout,929.80
ldv-cat-0038.c.ite.gsa.df.smt2,183.96,27.21,sat,4.33
ldv-cat-0039.c.ite.gsa.df.smt2,189.22,46.89,sat,27.05
ldv-cat-0040.c.ite.gsa.df.smt2,12.28,9.39,unsat,0.04
ldv-cat-0041.c.ite.gsa.df.smt2,9.01,7.39,unsat,0.03
ldv-cat-0042.c.ite.gsa.df.smt2,253.23,36.67,sat,5.94
ldv-cat-0043.c.ite.gsa.df.smt2,126.80,37.40,sat,4.70
ldv-cat-0044.c.ite.gsa.df.smt2,29.13,22.08,unsat,1.02
ldv-cat-0045.c.ite.gsa.df.smt2,565.12,565.12,timeout,929.64
ldv-cat-0046.i.ite.gsa.df.smt2,119.43,25.38,sat,39.53
ldv-cat-0047.c.ite.gsa.df.smt2,1518.07,1518.07,timeout,929.15
ldv-cat-0048.c.ite.gsa.df.smt2,45.66,19.56,sat,0.67
ldv-cat-0049.c.ite.gsa.df.smt2,16.34,12.86,unsat,0.21
ldv-cat-0050.i.ite.gsa.df.smt2,415.01,83.11,sat,147.37
ldv-cat-0051.i.ite.gsa.df.smt2,409.27,409.18,timeout,929.86
ldv-cat-0052.c.ite.gsa.df.smt2,65.72,22.45,sat,8.13
ldv-cat-0053.c.ite.gsa.df.smt2,9.32,7.61,unsat,0.03
ldv-cat-0054.c.ite.gsa.df.smt2,14.78,12.17,unsat,0.06
ldv-cat-0055.c.ite.gsa.df.smt2,7.97,6.97,unsat,0.02
ldv-cat-0056.c.ite.gsa.df.smt2,263.77,59.50,sat,307.01
ldv-cat-0057.i.ite.gsa.df.smt2,167.83,40.13,sat,101.31
ldv-cat-0058.c.ite.gsa.df.smt2,3408.40,3408.40,timeout,929.37
ldv-cat-0059.c.ite.gsa.df.smt2,29.85,22.46,unsat,0.15
ldv-cat-0060.c.ite.gsa.df.smt2,2434.35,204.07,sat,253.64
ldv-cat-0061.c.ite.gsa.df.smt2,6.31,5.51,unsat,0.02
ldv-cat-0062.c.ite.gsa.df.smt2,1629.97,381.58,unsat,18.30
ldv-cat-0063.c.ite.gsa.df.smt2,7.02,5.98,unsat,0.05
ldv-cat-0064.i.ite.gsa.df.smt2,669.96,669.05,timeout,929.87
ldv-cat-0065.c.ite.gsa.df.smt2,193.34,163.83,unsat,2.38
ldv-cat-0066.c.ite.gsa.df.smt2,391.12,355.36,timeout,929.90
ldv-cat-0067.i.ite.gsa.df.smt2,441.59,86.72,sat,357.63
ldv-cat-0068.c.ite.gsa.df.smt2,71.79,55.64,unsat,0.34
ldv-cat-0069.c.ite.gsa.df.smt2,841.16,840.78,timeout,929.33
ldv-cat-0070.c.ite.gsa.df.smt2,311.49,44.55,sat,117.95
