index,max_memory,memory,status,time
ldv-cat-0000.c.ite.gsa.smt2,0.09,0.09,unknown,
ldv-cat-0000.c.ite.phi.smt2,0.09,0.09,unknown,
ldv-cat-0000.c.noite.gsa.smt2,0.09,0.09,unknown,
ldv-cat-0000.c.noite.phi.smt2,0.09,0.09,unknown,
ldv-cat-0001.c.ite.gsa.smt2,3.31,3.01,unsat,0.01
ldv-cat-0001.c.ite.phi.smt2,3.31,3.01,unsat,0.01
ldv-cat-0001.c.noite.gsa.smt2,3.31,3.01,unsat,0.01
ldv-cat-0001.c.noite.phi.smt2,3.32,3.01,unsat,0.01
ldv-cat-0002.c.ite.gsa.smt2,3.37,3.13,unsat,0.01
ldv-cat-0002.c.ite.phi.smt2,3.37,3.13,unsat,0.01
ldv-cat-0002.c.noite.gsa.smt2,3.37,3.13,unsat,0.01
ldv-cat-0002.c.noite.phi.smt2,3.37,3.13,unsat,0.01
ldv-cat-0003.c.ite.gsa.smt2,3.31,3.01,unsat,0.01
ldv-cat-0003.c.ite.phi.smt2,3.31,3.01,unsat,0.01
ldv-cat-0003.c.noite.gsa.smt2,3.31,3.01,unsat,0.01
ldv-cat-0003.c.noite.phi.smt2,3.31,3.01,unsat,0.01
ldv-cat-0004.c.ite.gsa.smt2,3.45,3.14,unsat,0.01
ldv-cat-0004.c.ite.phi.smt2,3.45,3.14,unsat,0.01
ldv-cat-0004.c.noite.gsa.smt2,3.45,3.14,unsat,0.01
ldv-cat-0004.c.noite.phi.smt2,3.45,3.14,unsat,0.01
ldv-cat-0005.c.ite.gsa.smt2,3.74,3.43,unsat,0.01
ldv-cat-0005.c.ite.phi.smt2,3.74,3.43,unsat,0.01
ldv-cat-0005.c.noite.gsa.smt2,3.74,3.43,unsat,0.01
ldv-cat-0005.c.noite.phi.smt2,3.74,3.43,unsat,0.01
ldv-cat-0006.c.ite.gsa.smt2,3.74,3.44,unsat,0.01
ldv-cat-0006.c.ite.phi.smt2,3.74,3.46,unsat,0.01
ldv-cat-0006.c.noite.gsa.smt2,3.74,3.44,unsat,0.01
ldv-cat-0006.c.noite.phi.smt2,3.75,3.45,unsat,0.01
ldv-cat-0007.c.ite.gsa.smt2,4.12,3.85,unsat,0.01
ldv-cat-0007.c.ite.phi.smt2,4.13,3.87,unsat,0.01
ldv-cat-0007.c.noite.gsa.smt2,4.12,3.85,unsat,0.01
ldv-cat-0007.c.noite.phi.smt2,4.22,3.97,unsat,0.01
ldv-cat-0008.c.ite.gsa.smt2,6.33,5.37,unsat,0.03
ldv-cat-0008.c.ite.phi.smt2,6.52,5.56,unsat,0.03
ldv-cat-0008.c.noite.gsa.smt2,6.48,5.52,unsat,0.03
ldv-cat-0008.c.noite.phi.smt2,6.23,5.34,unsat,0.03
ldv-cat-0009.c.ite.gsa.smt2,22.46,5.70,sat,0.54
ldv-cat-0009.c.ite.phi.smt2,23.84,7.27,sat,0.49
ldv-cat-0009.c.noite.gsa.smt2,22.46,5.70,sat,0.55
ldv-cat-0009.c.noite.phi.smt2,24.55,7.32,sat,1.41
ldv-cat-0010.c.ite.gsa.smt2,32.88,10.62,sat,2.64
ldv-cat-0010.c.ite.phi.smt2,32.22,10.41,sat,1.01
ldv-cat-0010.c.noite.gsa.smt2,28.04,8.85,sat,2.14
ldv-cat-0010.c.noite.phi.smt2,33.25,10.84,sat,1.84
ldv-cat-0011.c.ite.gsa.smt2,38.16,12.41,unsat,0.43
ldv-cat-0011.c.ite.phi.smt2,38.06,12.29,unsat,0.46
ldv-cat-0011.c.noite.gsa.smt2,38.16,12.41,unsat,0.47
ldv-cat-0011.c.noite.phi.smt2,49.03,16.78,unsat,0.93
ldv-cat-0012.c.ite.gsa.smt2,38.16,12.41,unsat,0.24
ldv-cat-0012.c.ite.phi.smt2,38.06,12.29,unsat,0.24
ldv-cat-0012.c.noite.gsa.smt2,38.16,12.41,unsat,0.22
ldv-cat-0012.c.noite.phi.smt2,49.14,16.78,unsat,0.54
ldv-cat-0013.i.ite.gsa.smt2,35.43,11.82,unsat,0.27
ldv-cat-0013.i.ite.phi.smt2,35.75,12.00,unsat,0.28
ldv-cat-0013.i.noite.gsa.smt2,35.43,11.82,unsat,0.28
ldv-cat-0013.i.noite.phi.smt2,41.45,12.87,unsat,0.84
ldv-cat-0014.c.ite.gsa.smt2,48.75,14.52,unsat,0.77
ldv-cat-0014.c.ite.phi.smt2,48.78,14.53,unsat,0.42
ldv-cat-0014.c.noite.gsa.smt2,48.66,14.52,unsat,0.42
ldv-cat-0014.c.noite.phi.smt2,56.29,17.97,unsat,1.33
ldv-cat-0015.c.ite.gsa.smt2,333.53,73.45,unsat,2.07
ldv-cat-0015.c.ite.phi.smt2,333.83,73.57,unsat,2.08
ldv-cat-0015.c.noite.gsa.smt2,333.53,73.45,unsat,2.01
ldv-cat-0015.c.noite.phi.smt2,346.81,73.98,unsat,8.48
ldv-cat-0016.c.ite.gsa.smt2,41.13,12.08,sat,1.42
ldv-cat-0016.c.ite.phi.smt2,41.47,11.98,sat,1.97
ldv-cat-0016.c.noite.gsa.smt2,40.90,12.00,sat,2.77
ldv-cat-0016.c.noite.phi.smt2,49.56,13.25,sat,4.04
ldv-cat-0017.c.ite.gsa.smt2,284.68,69.57,unsat,1.65
ldv-cat-0017.c.ite.phi.smt2,284.74,69.58,unsat,1.79
ldv-cat-0017.c.noite.gsa.smt2,284.68,69.57,unsat,1.90
ldv-cat-0017.c.noite.phi.smt2,286.31,70.14,unsat,2.53
ldv-cat-0018.c.ite.gsa.smt2,45.01,14.85,unsat,0.36
ldv-cat-0018.c.ite.phi.smt2,51.80,17.90,unsat,2.16
ldv-cat-0018.c.noite.gsa.smt2,48.86,17.35,unsat,0.35
ldv-cat-0018.c.noite.phi.smt2,59.26,18.85,unsat,2.30
ldv-cat-0019.i.ite.gsa.smt2,83.65,20.31,unsat,8.94
ldv-cat-0019.i.ite.phi.smt2,81.65,20.15,unsat,4.18
ldv-cat-0019.i.noite.gsa.smt2,82.43,20.31,unsat,5.95
ldv-cat-0019.i.noite.phi.smt2,87.46,21.31,unsat,8.04
ldv-cat-0020.c.ite.gsa.smt2,130.21,38.42,unsat,2.62
ldv-cat-0020.c.ite.phi.smt2,190.04,48.89,unsat,1.59
ldv-cat-0020.c.noite.gsa.smt2,618.69,543.85,timeout,929.84
ldv-cat-0020.c.noite.phi.smt2,247.97,69.07,unsat,2.70
ldv-cat-0021.c.ite.gsa.smt2,30.93,8.91,sat,5.94
ldv-cat-0021.c.ite.phi.smt2,29.10,8.85,sat,5.82
ldv-cat-0021.c.noite.gsa.smt2,30.93,8.91,sat,6.30
ldv-cat-0021.c.noite.phi.smt2,38.16,11.07,sat,8.85
ldv-cat-0022.i.ite.gsa.smt2,80.93,20.37,unsat,17.12
ldv-cat-0022.i.ite.phi.smt2,75.61,19.31,unsat,2.80
ldv-cat-0022.i.noite.gsa.smt2,79.62,20.24,unsat,22.98
ldv-cat-0022.i.noite.phi.smt2,80.48,20.59,unsat,3.54
ldv-cat-0023.c.ite.gsa.smt2,114.90,33.31,sat,23.16
ldv-cat-0023.c.ite.phi.smt2,114.15,33.62,sat,15.93
ldv-cat-0023.c.noite.gsa.smt2,161.10,37.20,sat,177.52
ldv-cat-0023.c.noite.phi.smt2,118.53,34.07,sat,6.73
ldv-cat-0024.i.ite.gsa.smt2,1245.66,269.76,unsat,62.66
ldv-cat-0024.i.ite.phi.smt2,1238.70,272.87,unsat,25.80
ldv-cat-0024.i.noite.gsa.smt2,1240.63,269.73,unsat,51.17
ldv-cat-0024.i.noite.phi.smt2,1250.23,277.08,unsat,24.57
ldv-cat-0025.c.ite.gsa.smt2,21.18,16.56,unsat,0.12
ldv-cat-0025.c.ite.phi.smt2,20.35,16.28,unsat,0.11
ldv-cat-0025.c.noite.gsa.smt2,21.20,16.56,unsat,0.21
ldv-cat-0025.c.noite.phi.smt2,20.23,16.77,unsat,0.11
ldv-cat-0026.c.ite.gsa.smt2,827.91,250.05,unsat,6.32
ldv-cat-0026.c.ite.phi.smt2,840.27,255.95,unsat,6.27
ldv-cat-0026.c.noite.gsa.smt2,827.03,250.57,unsat,6.16
ldv-cat-0026.c.noite.phi.smt2,961.49,279.10,unsat,7.63
ldv-cat-0027.c.ite.gsa.smt2,227.08,48.98,sat,9.21
ldv-cat-0027.c.ite.phi.smt2,194.75,43.25,sat,23.25
ldv-cat-0027.c.noite.gsa.smt2,253.05,62.12,sat,21.32
ldv-cat-0027.c.noite.phi.smt2,221.11,46.92,sat,19.70
ldv-cat-0028.c.ite.gsa.smt2,149.90,41.86,unsat,1.17
ldv-cat-0028.c.ite.phi.smt2,167.01,42.72,unsat,1.51
ldv-cat-0028.c.noite.gsa.smt2,149.89,41.86,unsat,1.19
ldv-cat-0028.c.noite.phi.smt2,184.06,45.73,unsat,7.24
ldv-cat-0029.c.ite.gsa.smt2,242.27,52.02,unsat,107.39
ldv-cat-0029.c.ite.phi.smt2,235.36,51.91,unsat,57.94
ldv-cat-0029.c.noite.gsa.smt2,238.44,52.05,unsat,135.56
ldv-cat-0029.c.noite.phi.smt2,228.21,51.73,unsat,6.27
ldv-cat-0030.c.ite.gsa.smt2,18.21,12.72,unsat,0.25
ldv-cat-0030.c.ite.phi.smt2,18.81,13.28,unsat,0.30
ldv-cat-0030.c.noite.gsa.smt2,18.20,12.72,unsat,0.28
ldv-cat-0030.c.noite.phi.smt2,218.38,51.16,unsat,8.36
ldv-cat-0031.i.ite.gsa.smt2,93.92,22.59,sat,22.84
